Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,Label
qntm.org,0,0,0,1,0,0,0,0,0
boschert.de,0,0,0,1,0,0,0,0,0
kelei.cc,0,0,0,1,0,0,0,0,0
goolsoccer.com,0,0,0,1,0,0,0,0,0
choosewheels.com,0,0,0,1,0,0,0,0,0
zonanortevision.com.ar,0,0,0,1,0,0,0,0,0
erasio.de,0,0,0,1,0,0,0,0,0
megzeit.de,0,0,0,1,0,0,0,0,0
dorothysurrenders.blogspot.com,0,0,0,1,0,0,1,0,0
technocart.co.uk,0,0,0,1,0,0,1,0,0
x-kids.ru,0,0,0,1,0,0,0,0,0
myprintcard.de,0,0,0,1,0,0,0,0,0
woodchuckusa.com,0,0,0,1,0,0,0,0,0
sreestours.com,0,0,0,1,0,0,0,0,0
sencms.com,0,0,0,1,0,0,0,0,0
klaverbladzeeland.nl,0,0,0,1,0,0,0,0,0
iromeni.com,0,0,0,1,0,0,0,0,0
novayamoda.com.ua,0,0,0,1,0,0,0,0,0
usingenglish.com,0,0,0,1,0,0,0,0,0
salonwith.com,0,0,0,1,0,0,0,0,0
hirosaki-kanko.or.jp,0,0,0,1,0,0,0,0,0
gizlogic.com,0,0,0,1,0,0,0,0,0
vinopremier.com,0,0,0,1,0,0,0,0,0
studentkortet.se,0,0,0,1,0,0,0,0,0
traffic-sale.com,0,0,0,1,0,0,0,0,0
evolutionservicestore.it,0,0,0,1,0,0,0,0,0
tradesoftheday.com,0,0,0,1,0,0,0,0,0
travel-vox.com,0,0,0,1,0,0,1,0,0
spoor.com,0,0,0,1,0,0,0,0,0
56seer.com,0,0,0,1,0,0,0,0,0
jru7.com,0,0,0,1,0,0,0,0,0
asyatelevizyonu.net,0,0,0,1,0,0,0,0,0
hdsex.org,0,0,0,1,0,0,0,0,0
hbg4lyfe.org,0,0,0,1,0,0,0,0,0
sib.ir,0,0,0,1,0,0,0,0,0
eastdesign.net,0,0,0,1,0,0,0,0,0
france-universite-numerique-mooc.fr,0,0,0,1,0,0,0,0,0
wonderslist.com,0,0,0,1,0,0,1,0,0
jatro.pl,0,0,0,1,0,0,0,0,0
natchezdemocrat.com,0,0,0,1,0,0,1,0,0
thomascook.fr,0,0,0,1,0,0,0,0,0
heartsmart.com,0,0,0,1,0,0,1,0,0
winstonsolicitors.co.uk,0,0,0,1,0,0,0,0,0
eurowin.pl,0,0,0,1,0,0,0,0,0
educationboard.gov.bd,0,0,0,1,0,0,0,0,0
cheap.jp,0,0,0,1,0,0,0,0,0
hyderabad.aero,0,0,0,1,0,0,0,0,0
wishesgreeting.com,0,0,0,1,0,0,0,0,0
techieshelp.com,0,0,0,1,0,0,0,0,0
hanmaer.com,0,0,0,1,0,0,0,0,0
mirbase.org,0,0,0,1,0,0,0,0,0
ixia.es,0,0,0,1,0,0,0,0,0
ignios.pt,0,0,0,1,0,0,0,0,0
freeurllink.com,0,0,0,1,0,0,0,0,0
frau-web.net,0,0,0,1,0,0,0,0,0
chartporn.org,0,0,0,1,0,0,0,0,0
offshoreblue.com,0,0,0,1,0,0,0,0,0
thomsonworldwide.com,0,0,0,1,0,0,0,0,0
1055rock.gr,0,0,0,1,0,0,0,0,0
personaworld.com,0,0,0,1,0,0,0,0,0
projekt-hoffmann.de,0,0,0,1,0,0,0,0,0
chu-charleroi.be,0,0,0,1,0,0,0,0,0
girlsstickam.com,0,0,0,1,0,0,0,0,0
coinmonitor.info,0,0,0,1,0,0,0,0,0
por15.com,0,0,0,1,0,0,0,0,0
headshotcrew.com,0,0,0,1,0,0,0,0,0
alexxstuart.com,0,0,0,1,0,0,1,0,0
